id,leto,mesec,dan,ura,minuta,sekunda,DOL,dolzina,SIR,sirina,globina,magnituda,regija
537205,2016,10,15,07,40,19.8,W,66.63,N,17.81,4,2.5,PUERTO RICO REGION
537130,2016,10,15,07,17,26.5,E,26.57,N,38.17,11,2.6,NEAR THE COAST OF WESTERN TURKEY
537130,2016,10,15,07,17,26.5,E,26.57,N,38.17,11,2.6,NEAR THE COAST OF WESTERN TURKEY
537129,2016,10,15,07,16,08.0,W,66.34,N,73.17,4,2.5,PUERTO RICO
537128,2016,10,15,06,54,45.5,E,35.98,N,39.80,9,2.1,CENTRAL TURKEY
537124,2016,10,15,06,32,47.0,W,69.42,S,81.10,148,3.7,"SAN JUAN, ARGENTINA"
537121,2016,10,15,06,20,35.3,E,27.71,N,38.89,5,2.5,WESTERN TURKEY
537118,2016,10,15,06,17,33.3,W,20.56,N,19.12,234,3.8,"POTOSI, BOLIVIA"
537114,2016,10,15,05,47,17.0,W,58.37,N,32.83,0,2.6,ALASKA PENINSULA
537112,2016,10,15,05,32,55.5,E,26.52,N,34.56,10,4.5,"CRETE, GREECE"
537111,2016,10,15,05,26,41.2,E,40.11,N,19.38,5,2.4,WESTERN TURKEY
537109,2016,10,15,05,03,24.8,E,27.71,N,38.93,7,3.3,WESTERN TURKEY
537102,2016,10,15,04,52,09.7,E,27.71,N,38.93,7,3.4,WESTERN TURKEY
537103,2016,10,15,04,49,16.0,E,27.71,N,38.93,6,2.2,WESTERN TURKEY
537104,2016,10,15,04,44,50.8,E,27.65,N,38.98,3,2.0,WESTERN TURKEY
537097,2016,10,15,04,30,11.0,E,27.75,N,74.30,13,2.0,WESTERN TURKEY
537093,2016,10,15,03,38,11.4,E,27.70,N,38.95,6,2.5,WESTERN TURKEY
537093,2016,10,15,03,38,11.4,E,27.70,N,38.95,6,2.5,WESTERN TURKEY
537095,2016,10,15,03,38,09.9,W,66.87,N,17.97,12,2.5,PUERTO RICO
537092,2016,10,15,03,36,15.7,E,27.70,N,38.92,6,2.4,WESTERN TURKEY
537090,2016,10,15,03,24,11.5,E,27.70,N,38.90,4,2.1,WESTERN TURKEY
537089,2016,10,15,03,21,27.6,E,27.72,N,38.95,9,2.2,WESTERN TURKEY
537088,2016,10,15,03,17,39.0,W,66.88,N,73.96,17,2.4,PUERTO RICO
537134,2016,10,15,03,10,51.9,W,66.87,N,17.92,8,2.2,PUERTO RICO REGION
537087,2016,10,15,03,07,14.6,E,27.77,N,38.97,6,2.2,WESTERN TURKEY
537084,2016,10,15,03,02,28.7,E,27.73,N,38.92,19,3.6,WESTERN TURKEY
537085,2016,10,15,02,55,27.7,E,27.72,N,38.94,8,2.4,WESTERN TURKEY
537080,2016,10,15,02,51,03.5,E,27.69,N,38.94,6,4.2,WESTERN TURKEY
537074,2016,10,15,02,49,15.2,E,27.72,N,38.93,11,4.0,WESTERN TURKEY
537071,2016,10,15,02,44,48.2,W,66.85,S,24.09,193,4.3,"SALTA, ARGENTINA"
537068,2016,10,15,01,47,14.3,E,13.25,N,42.90,9,2.7,CENTRAL ITALY
537067,2016,10,15,01,44,26.3,W,36.41,N,40.74,5,2.1,OKLAHOMA
537156,2016,10,15,01,37,45.1,E,24.02,N,34.82,18,2.2,"CRETE, GREECE"
537064,2016,10,15,01,33,01.1,E,42.89,N,19.22,9,3.0,CENTRAL ITALY
537066,2016,10,15,01,11,09.0,E,36.78,N,63.14,6,2.1,DODECANESE IS.-TURKEY BORDER REG
537061,2016,10,15,00,46,07.1,E,25.54,N,39.83,12,2.6,AEGEAN SEA
537063,2016,10,15,00,05,39.1,E,23.15,N,34.94,22,2.1,"CRETE, GREECE"
537055,2016,10,14,23,37,58.2,W,73.11,N,45.91,146,3.4,NORTHERN COLOMBIA
537057,2016,10,14,23,26,58.0,W,69.28,S,19.21,105,2.6,"TARAPACA, CHILE"
