id,leto,mesec,DOL,dolzina,regija,minuta,SIR,ura,sirina,dan,magnituda,globina,sekunda
537131,2016,10,E,27.72,WESTERN TURKEY,41,N,07,38.91,15,2.9,6,17.3
537205,2016,10,W,66.63,PUERTO RICO REGION,40,N,07,17.81,15,2.5,4,19.8
537130,2016,10,E,26.57,NEAR THE COAST OF WESTERN TURKEY,17,N,07,38.17,15,2.6,11,26.5
537129,2016,10,W,66.34,PUERTO RICO,16,N,07,73.17,15,2.5,4,08.0
537128,2016,10,E,35.98,CENTRAL TURKEY,54,N,06,39.80,15,2.1,9,45.5
537124,2016,10,W,69.42,"SAN JUAN, ARGENTINA",32,S,06,81.10,15,3.7,148,47.0
537121,2016,10,E,27.71,WESTERN TURKEY,20,N,06,38.89,15,2.5,5,35.3
537118,2016,10,W,20.56,"POTOSI, BOLIVIA",17,N,06,19.12,15,3.8,234,33.3
537114,2016,10,W,58.37,ALASKA PENINSULA,47,N,05,32.83,15,2.6,0,17.0
537112,2016,10,E,26.52,"CRETE, GREECE",32,N,05,34.56,15,4.5,10,55.5
537111,2016,10,E,40.11,WESTERN TURKEY,26,N,05,19.38,15,2.4,5,41.2
537109,2016,10,E,27.71,WESTERN TURKEY,03,N,05,38.93,15,3.3,7,24.8
537110,2016,10,E,20.57,GREECE,01,N,05,38.44,15,2.2,9,54.0
537102,2016,10,E,27.71,WESTERN TURKEY,52,N,04,38.93,15,3.4,7,09.7
537103,2016,10,E,27.71,WESTERN TURKEY,49,N,04,38.93,15,2.2,6,16.0
537104,2016,10,E,27.65,WESTERN TURKEY,44,N,04,38.98,15,2.0,3,50.8
537104,2016,10,E,27.65,WESTERN TURKEY,44,N,04,38.98,15,2.0,3,50.8
537097,2016,10,E,27.75,WESTERN TURKEY,30,N,04,74.30,15,2.0,13,11.0
537093,2016,10,E,27.70,WESTERN TURKEY,38,N,03,38.95,15,2.5,6,11.4
537095,2016,10,W,66.87,PUERTO RICO,38,N,03,17.97,15,2.5,12,09.9
537092,2016,10,E,27.70,WESTERN TURKEY,36,N,03,38.92,15,2.4,6,15.7
537090,2016,10,E,27.70,WESTERN TURKEY,24,N,03,38.90,15,2.1,4,11.5
537089,2016,10,E,27.72,WESTERN TURKEY,21,N,03,38.95,15,2.2,9,27.6
537088,2016,10,W,66.88,PUERTO RICO,17,N,03,73.96,15,2.4,17,39.0
537134,2016,10,W,66.87,PUERTO RICO REGION,10,N,03,17.92,15,2.2,8,51.9
537087,2016,10,E,27.77,WESTERN TURKEY,07,N,03,38.97,15,2.2,6,14.6
537084,2016,10,E,27.73,WESTERN TURKEY,02,N,03,38.92,15,3.6,19,28.7
537085,2016,10,E,27.72,WESTERN TURKEY,55,N,02,38.94,15,2.4,8,27.7
537080,2016,10,E,27.69,WESTERN TURKEY,51,N,02,38.94,15,4.2,6,03.5
537074,2016,10,E,27.72,WESTERN TURKEY,49,N,02,38.93,15,4.0,11,15.2
537071,2016,10,W,66.85,"SALTA, ARGENTINA",44,S,02,24.09,15,4.3,193,48.2
537068,2016,10,E,13.25,CENTRAL ITALY,47,N,01,42.90,15,2.7,9,14.3
537067,2016,10,W,36.41,OKLAHOMA,44,N,01,40.75,15,2.1,5,26.2
537156,2016,10,E,24.02,"CRETE, GREECE",37,N,01,34.82,15,2.2,18,45.1
537156,2016,10,E,24.02,"CRETE, GREECE",37,N,01,34.82,15,2.2,18,45.1
537064,2016,10,E,42.89,CENTRAL ITALY,33,N,01,19.22,15,3.0,9,01.1
537066,2016,10,E,36.78,DODECANESE IS.-TURKEY BORDER REG,11,N,01,63.14,15,2.1,6,09.0
537061,2016,10,E,25.54,AEGEAN SEA,46,N,00,39.83,15,2.6,12,07.1
537063,2016,10,E,23.15,"CRETE, GREECE",05,N,00,34.94,15,2.1,22,39.1
537055,2016,10,W,73.11,NORTHERN COLOMBIA,37,N,23,45.91,14,3.4,146,58.2
